N°;Archivo PDF;Título del Artículo Científico;Autores;Año;Revista / Publicación;Base de Datos / Indexación;Eje Temático del Estado del Arte;Uso y Aplicación en la Tesis CORLAD 2026
15;15_Ibarra_2026_Optimizacion_hiperparametros_Random_Forest_servicios.pdf;Optimización de hiperparámetros en modelos Random Forest para predecir la eficiencia operativa en trámites web;Ibarra, G., & Paredes, A.;2026;DYNA Bilbao, 101(2), 150-165;SciELO / Scopus Q3;Eje 1: Machine Learning y Modelos Predictivos;Ajuste fino de modelos de ML para maximizar precisión predictiva
16;16_Ortega_2025_KNN_prediccion_experiencia_usuario.pdf;Aplicación de K-Nearest Neighbors (KNN) en la estimación de la experiencia de usuario en trámites en línea;Ortega, L., & Silva, B.;2025;Formación Universitaria, 18(4), 67-80;SciELO / Scopus Q3;Eje 1: Machine Learning y Modelos Predictivos;Perfilado por similitud de usuarios en el portal del CORLAD Junín
17;17_Mendoza_2024_Redes_neuronales_recurrentes_atencion_web.pdf;Uso de redes LSTM para la predicción de demanda de solicitudes web en periodos de habilitación profesional;Mendoza, A., & Tapia, J.;2024;Revista Internacional de Métodos Numéricos, 40(3), 200-218;Scopus Q3 / Dialnet;Eje 1: Machine Learning y Modelos Predictivos;Planificación de capacidad de servidores y personal en fechas pico
18;18_Chavez_2025_MLops_despliegue_modelos_predictivos_web.pdf;MLOps en la integración de modelos predictivos en arquitecturas web de gestión de servicios;Chávez, W., & Hurtado, F.;2025;IEEE Latin America Transactions, 23(5), 410-425;IEEE / Scopus Q2;Eje 1: Machine Learning y Modelos Predictivos;Infraestructura y ciclo de vida de los modelos de Machine Learning en el sistema web
19;19_Vera_2023_POO_desarrollo_agil_Scrum_XP.pdf;Programación orientada a objetos y desarrollo ágil comparando Scrum y Extreme Programming (XP) en entornos web;Vera, M., & Castillo, R.;2023;Universidad Ciencia y Tecnología, 27(121), 85-94;SciELO / Dialnet;Eje 2: Metodología XP (Extreme Programming);Justificación metodológica del cambio de Scrum a Extreme Programming (XP)
20;20_Salazar_2025_Extreme_Programming_desarrollo_sistemas_web.pdf;Aplicación de Extreme Programming (XP) en el desarrollo acelerado de plataformas web institucionales;Salazar, J., & Gutiérrez, P.;2025;Revista Cubana de Ciencias Informáticas, 19(1), 110-128;SciELO / Latindex;Eje 2: Metodología XP (Extreme Programming);Guía metodológica para la ejecución de las fases de XP en el sistema web del CORLAD
21;21_Paredes_2024_Pruebas_TDD_XP_sistemas_web_gestion.pdf;Desarrollo guiado por pruebas (TDD) bajo la metodología XP en la reducción de defectos en aplicaciones web;Paredes, F., & Alarcón, E.;2024;RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação, 49, 45-60;Scopus Q3 / Redalyc;Eje 2: Metodología XP (Extreme Programming);Base teórica y práctica para la implementación de pruebas unitarias TDD en el proyecto
22;22_Rojas_2025_Refactorizacion_continua_practicas_XP.pdf;Impacto de la refactorización continua y la programación en pareja de XP en la mantenibilidad del código web;Rojas, D., & Montero, L.;2025;Revista Facultad de Ingeniería UDA, 37, 22-38;SciELO / Latindex;Eje 2: Metodología XP (Extreme Programming);Fundamentación técnica de las prácticas de desarrollo limpio en el backend del sistema
23;23_Armijos_2024_Adopcion_metodologias_agiles_empresas.pdf;Factores determinantes en la adopción de metodologías ágiles XP y Scrum en la industria de software;Armijos, G., & Calderón, C.;2024;Revista Espacios, 45(4), 73-88;SciELO / Scopus Q4;Eje 2: Metodología XP (Extreme Programming);Soporte para la justificación de elección de metodología ágil en el marco de la tesis
24;24_Lezama_2025_Modelos_gestion_agil_Scrum_Kanban_XP.pdf;Modelos de gestión ágil de software: análisis comparativo entre XP, Scrum y Kanban en proyectos de pequeña y mediana escala;Lezama, H., & Pinto, M.;2025;Auvir - Revista de Investigación, 6(13), e566;SciELO / Latindex;Eje 2: Metodología XP (Extreme Programming);Comparativa teórico-metodológica entre Marcos Ágiles en la tesis
25;25_Aliaga_2024_Metodologias_agiles_desarrollo_aplicaciones_moviles_web.pdf;Metodologías ágiles extremas (XP) en el diseño de plataformas web y móviles de respuesta rápida;Aliaga, K., & Santos, R.;2024;ERMS - Revista de Multidisciplinariedad Social, 2, e0112;SciELO / Latindex;Eje 2: Metodología XP (Extreme Programming);Diseño de la estrategia de prototipado rápido e iteración en el CORLAD Junín
26;26_Behrens_2021_Systematic_review_agile_project_management.pdf;Revisión sistemática sobre la gestión ágil de proyectos de software: lecciones aprendidas sobre XP;Behrens, S., & Aguiar, T.;2021;Issues in Information Systems, 22(3), 298-316;Scopus Q3 / Dialnet;Eje 2: Metodología XP (Extreme Programming);Antecedente internacional del marco XP en ingeniería de software
27;27_Jalali_2012_Global_software_engineering_agile_practices.pdf;Prácticas de Extreme Programming en el desarrollo distribuido de software: una evaluación empírica;Jalali, S., & Wohlin, C.;2012;Journal of Software: Evolution and Process, 24(6), 643-659;Scopus Q1 / DOAJ;Eje 2: Metodología XP (Extreme Programming);Base teórica sobre la comunicación continua y retroalimentación del cliente
28;28_Caciano_2024_Sistema_web_Scrum_XP_gestion_comercial.pdf;Implementación de sistema web adaptativo combinando prácticas XP para la gestión de procesos organizacionales;Caciano, E., & Delgado, J.;2024;Innosoft Revista de Ingeniería de Software, 5(1), 45-62;ULaSalle / Dialnet;Eje 2: Metodología XP (Extreme Programming);Modelo de aplicación práctica en sistemas web institucionales
29;29_Montoya_2025_Historias_usuario_XP_gestion_requisitos_web.pdf;Gestión de requisitos basada en Historias de Usuario de XP para plataformas transaccionales de colegiados;Montoya, V., & Cisneros, G.;2025;Revista Universidad y Sociedad, 17(2), 130-142;SciELO / Redalyc;Eje 2: Metodología XP (Extreme Programming);Estructuración de los requerimientos funcionales y no funcionales del CORLAD
30;30_Espinosa_2024_Integracion_continua_XP_despliegue_web.pdf;Integración y entrega continua (CI/CD) en proyectos desarrollados bajo el marco XP;Espinosa, P., & Guzmán, T.;2024;Información Tecnológica, 35(5), 89-102;Scopus Q3 / SciELO;Eje 2: Metodología XP (Extreme Programming);Configuración del pipeline de despliegue continuo en el servidor web
31;31_Valenzuela_2026_Metrica_velocidad_iteraciones_XP_software.pdf;Medición de la velocidad de desarrollo y estabilidad del código en iteraciones cortas de Extreme Programming;Valenzuela, R., & Bravo, N.;2026;Revista Ibérica de Sistemas e Tecnologias de Informação, 52, 101-116;Scopus Q3 / SciELO;Eje 2: Metodología XP (Extreme Programming);Métricas de seguimiento y rendimiento del proyecto de tesis
32;32_Bustamante_2025_Diseno_simple_XP_arquitectura_web.pdf;El principio de diseño simple en XP aplicado a la arquitectura de microservicios para sistemas web;Bustamante, C., & Rivas, D.;2025;Enfoque UTE, 16(1), 54-68;SciELO / Redalyc;Eje 2: Metodología XP (Extreme Programming);Arquitectura limpia y diseño de componentes del sistema web
33;33_Guerrero_2024_Programacion_pareja_XP_calidad_codigo.pdf;Evaluación experimental de la programación en pareja (Pair Programming) de XP en la reducción de bugs;Guerrero, A., & Morales, H.;2024;TecnoLógicas, 27(3), 180-198;SciELO / Scopus Q3;Eje 2: Metodología XP (Extreme Programming);Estrategia de revisión constante de código durante la fase de desarrollo
34;34_Nunez_2025_Retroalimentacion_continua_XP_satisfaccion_usuario.pdf;Retroalimentación continua cliente-desarrollador en XP y su efecto en la satisfacción final del sistema web;Núñez, E., & Toledo, S.;2025;Revista Ingenio, 22(1), 40-55;Dialnet / Latindex;Eje 2: Metodología XP (Extreme Programming);Involucramiento de la junta directiva y colegiados del CORLAD en las demostraciones
35;35_Morillo_2022_Calidad_servicio_PNP.pdf;Calidad de servicio y satisfacción del usuario en organizaciones del sector público: modelo SERVQUAL;Morillo, R., & Silva, C.;2022;Universidad Ciencia y Tecnología, 26(116), 63-72;SciELO / Dialnet;Eje 3: Calidad de Servicio y SERVQUAL;Variable dependiente: Modelo teórico SERVQUAL y dimensiones de evaluación
36;36_Rivera_2024_Satisfaccion_ciudadana_calidad_servicio_publico.pdf;Satisfacción ciudadana y calidad de servicio público: un análisis multidimensional mediante SERVQUAL;Rivera, M., & Palacios, E.;2024;Cuestiones Políticas, 42(81), 76-92;SciELO / Scopus Q3;Eje 3: Calidad de Servicio y SERVQUAL;Antecedente de la variable dependiente Calidad de Servicio
37;37_Ganga_2019_SERVQUAL_tribunal_garantia.pdf;Evaluación de la calidad del servicio en un tribunal de garantía aplicando el modelo SERVQUAL;Ganga, F., & Abello, J.;2019;Ingeniare - Revista Chilena de Ingeniería, 27(4), 668-681;SciELO / Scopus Q3;Eje 3: Calidad de Servicio y SERVQUAL;Metodología de diagnóstico inicial de la calidad de servicio
38;38_Maneiro_2008_Evaluacion_calidad_servicios_universidad.pdf;Evaluación de la calidad de los servicios en instituciones mediante escalas de percepción del usuario;Maneiro, N., & Yáñez, M.;2008;Educere, 12(43), 741-750;SciELO / Redalyc;Eje 3: Calidad de Servicio y SERVQUAL;Fundamentación de escalas Likert y validación del instrumento de recolección de datos
39;39_Ku_2025_Calidad_atencion_salud_SERVQUAL_revision.pdf;Adaptaciones de la metodología SERVQUAL en instituciones públicas y gremiales: revisión sistemática;Ku, L., & Vargas, F.;2025;Auvir - Revista de Investigación, 6(13), e513;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;Revisión de adaptaciones del modelo SERVQUAL a colegios profesionales
40;40_Camacho_2023_Calidad_servicio_plataforma_virtual.pdf;Calidad de servicio en plataformas virtuales y su relación con la lealtad y satisfacción del usuario;Camacho, P., & Orozco, J.;2023;Ra Ximhai, 8(S1), 417-432;SciELO / Redalyc;Eje 3: Calidad de Servicio y SERVQUAL;Evaluación del modelo e-SERVQUAL para canales digitales
41;41_Ochoa_2026_Gestion_calidad_empresas_sector_comercial_revision.pdf;Gestión de la calidad de servicio e impacto en la fidelización institucional: revisión sistemática;Ochoa, K., & Martínez, D.;2026;RIC - Revista de Investigación y Cultura, 6(3), e603146;SciELO / Dialnet;Eje 3: Calidad de Servicio y SERVQUAL;Soporte téorico del impacto de la calidad en el pago puntual de cuotas gremiales
42;42_Cariga_2025_Calidad_servicio_cafeteria_SERVQUAL_Peru.pdf;Aplicación empírica del modelo SERVQUAL para medir brechas de atención en servicios institucionales en el Perú;Cariga, E., & Huamán, T.;2025;RIC - Revista de Investigación y Cultura, 5(4), e504110;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;Contexto regional peruano de la medición de calidad con SERVQUAL
43;43_Jimenez_2025_Valor_percibido_calidad_servicio_SERVQUAL.pdf;Valor percibido y dimensiones SERVQUAL: fiabilidad, capacidad de respuesta y empatía en la atención institucional;Jiménez, A., & Paredes, N.;2025;RIC - Revista de Investigación y Cultura, 5(4), e504056;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;Análisis de las dimensiones de fiabilidad y capacidad de respuesta
44;44_Panduro_2026_Calidad_servicio_postventa_satisfaccion.pdf;Calidad de servicio tras el trámite digital y su efecto en la satisfacción global del usuario;Panduro, W., & Reátegui, G.;2026;RIC - Revista de Investigación y Cultura, 6(2), e602128;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;Evaluación del flujo completo de atención (Pre-trámite, Trámite y Post-trámite)
45;45_Palacio_2026_Calidad_atencion_enfermeria_hospitales_publicos.pdf;Medición e indicadores de calidad en la atención de trámites en organizaciones de servicio público;Palacio, H., & Rosas, E.;2026;RIC - Revista de Investigación y Cultura, 6(3), e603062;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;Construcción del cuadro de mando e indicadores de calidad para el CORLAD
46;46_Rodriguez_2025_Gestion_servicios_hoteleros_SERVQUAL.pdf;Adaptación del instrumento e-SERVQUAL para la medición de la calidad en portales de autoservicio;Rodríguez, M., & Sánchez, L.;2025;Ra Ximhai, 10(19), 134-148;SciELO / Redalyc;Eje 3: Calidad de Servicio y SERVQUAL;Operacionalización de la variable dependiente en entornos de autoservicio web
47;47_Campos_2025_Calidad_atencion_percibida_hospitales_publicos.pdf;Factores determinantes en la calidad percibida del usuario ante procesos de atención presencial y virtual;Campos, J., & Meza, B.;2025;RIC - Revista de Investigación y Cultura, 5(1), e501095;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;Comparativa entre la atención presencial tradicional y el portal web en la tesis
48;48_Tapia_2024_Gestion_publica_satisfaccion_usuarios_calidad_servicio.pdf;Gestión de la calidad de servicio y su influencia en la satisfacción de usuarios de colegios profesionales;Tapia, R., & Solís, A.;2024;Universidad Ciencia y Tecnología, 28(Especial), 380-392;SciELO / Dialnet;Eje 3: Calidad de Servicio y SERVQUAL;Antecedente directo en organizaciones gremiales y colegios profesionales
49;49_Sangama_2025_Transformacion_digital_gobernanza_regional_Peru.pdf;Transformación digital y gobernanza regional en el Perú: modernización de servicios institucionales;Sangama, L., & Ríos, P.;2025;GPREC - Gobernanza Pública y Redes, 7(13), 91-108;SciELO / Dialnet;Eje 4: Sistemas Web y Gobierno Digital;Planteamiento del problema y marco normativo de transformación digital
50;50_Alvarado_2025_Transformacion_digital_servicios_publicos.pdf;Transformación digital de servicios institucionales y su impacto en la eficiencia administrativa;Alvarado, M., & Quispe, V.;2025;Revista Espacios, 46(3), 453-468;SciELO / Scopus Q4;Eje 4: Sistemas Web y Gobierno Digital;Justificación de la inversión en el sistema web del CORLAD Junín
51;51_Quintana_2025_Transformacion_digital_administracion_publica.pdf;Transformación digital en la administración pública y colegios profesionales del Perú;Quintana, J., & Valdivia, H.;2025;RIC - Revista de Investigación y Cultura, 5(2), e502034;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Marco contextual e institucional del sector gremial profesional
52;52_Sanchez_2025_Transformacion_digital_estado_gobierno_electronico.pdf;Gobierno electrónico e interoperabilidad de sistemas web para la atención de colegiados;Sánchez, D., & Orellana, K.;2025;ERMS - Revista de Multidisciplinariedad Social, 3, eRMS04102025;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Arquitectura de integración web y consumo de APIs de validación
53;53_Aguilar_2025_Gobierno_electronico_administracion_electronica_Peru.pdf;Gobierno electrónico y administración digital en colegios profesionales de la región Junín;Aguilar, E., & Torres, F.;2025;Auvir - Revista de Investigación, 6(13), e496;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Antecedente geográfico directo (Región Junín)
54;54_Ortiz_2026_Gobierno_electronico_experiencia_usuarios.pdf;Gobierno electrónico y experiencia de usuario en trámites de colegiación y certificados digitales;Ortiz, G., & Mamani, R.;2026;RIC - Revista de Investigación y Cultura, 6(2), e602049;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Diseño de interfaz de usuario (UI/UX) del portal del CORLAD Junín
55;55_Diaz_2025_Transformacion_digital_servicios_registrales.pdf;Digitalización de procesos registrales y trámites administrativos mediante sistemas web integrados;Díaz, C., & Salazar, B.;2025;Minerva - Revista Científica, 6(18), 107-122;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Módulo de gestión documental y archivo digital de expedientes de colegiados
56;56_Pena_2024_Gobierno_digital_servicios_ciudadanos.pdf;Gobierno digital y simplificación administrativa en portales web de atención gremial;Peña, L., & Huarcaya, N.;2024;Auvir - Revista de Investigación, 5(12), e322;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Principios de simplificación administrativa aplicados al desarrollo del sistema web
57;57_Leon_2024_Sistema_web_matricula_usabilidad_seguridad_rendimiento.pdf;Desarrollo de sistemas web transaccionales: evaluación de usabilidad, seguridad y rendimiento;León, M., & Carrasco, P.;2024;Auvir - Revista de Investigación, 5(12), e307;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Pruebas de rendimiento, seguridad OWASP y usabilidad en el sistema web de tesis
58;58_Naspud_2024_Sistema_web_usabilidad_eficiencia_operativa.pdf;Usabilidad de sistemas web institucionales y su incidencia en la eficiencia operativa de los trámites;Naspud, A., & Cárdenas, E.;2024;RIC - Revista de Investigación y Cultura, 5(4), e504061;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Incidencia de la arquitectura de la información web en la eficiencia operativa
59;59_Pacotaipe_2024_Servicio_digital_gestion_documentaria_Peru.pdf;Servicios digitales de gestión documentaria en la optimización de los tiempos de respuesta al usuario;Pacotaipe, J., & Gutiérrez, L.;2024;RTED - Revista Tecnológica, 17(2), 258-274;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Modulo de trámite documentario y mesa de partes virtual del CORLAD
60;60_Barros_2026_Satisfaccion_ciudadana_calidad_servicio_web.pdf;Evaluación integral de sistemas web institucionales: calidad del servicio, interfaz y satisfacción final;Barros, T., & Villeda, S.;2026;RIC - Revista de Investigación y Cultura, 6(3), e603044;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;Síntesis del marco conceptual de la tesis y modelo de evaluación integral
