N°;Archivo PDF Real;Título del Artículo Científico;Autores;Año;Revista / Publicación;Base de Datos / Indexación;Eje Temático;Páginas;Tamaño (KB);Aplicación en la Tesis CORLAD
15;15_Caciano_2024_Sistema_web_Scrum_gestion_comercial_talento_humano.pdf;Implementación de sistema web adaptativo para la gestión organizacional;Caciano & Delgado;2024;Innosoft;ULaSalle / Dialnet;Eje 2: Metodología XP (Extreme Programming);16;882;Desarrollo de módulos web en ciclos iterativos
16;16_Behrens_2021_Systematic_review_agile_project_management.pdf;Revisión sistemática de gestión ágil de proyectos: lecciones sobre XP;Behrens & Aguiar;2021;Issues in Information Systems;Scopus Q3 / Dialnet;Eje 2: Metodología XP (Extreme Programming);18;475;Buenas prácticas de Extreme Programming en software
17;17_Jalali_2012_Global_software_engineering_agile_practices.pdf;Prácticas de Extreme Programming en el desarrollo de software;Jalali & Wohlin;2012;Journal of Software: Evolution and Process;Scopus Q1 / DOAJ;Eje 2: Metodología XP (Extreme Programming);17;638;Integración continua y retroalimentación con el cliente
18;18_Schwaber_Sutherland_2020_Guia_Scrum_espanol.pdf;Marco ágil de trabajo y gestión iterativa de requerimientos;Schwaber & Sutherland;2020;Scrum Guides;Repositorio Internacional;Eje 2: Metodología XP (Extreme Programming);16;311;Comparativa y complementariedad metodológica ágil
19;19_Leon_2024_Sistema_web_matricula_usabilidad_seguridad_rendimiento.pdf;Desarrollo de sistemas web: evaluación de usabilidad, seguridad y rendimiento;León & Carrasco;2024;Auvir;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;17;1440;Pruebas no funcionales de rendimiento y seguridad
20;20_Naspud_2024_Sistema_web_usabilidad_eficiencia_operativa.pdf;Usabilidad de sistemas web institucionales y eficiencia operativa;Naspud & Cárdenas;2024;RIC;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;13;988;Impacto de la usabilidad en la reducción de errores
21;21_Armijos_2024_Adopcion_metodologias_agiles_empresas.pdf;Factores determinantes en la adopción de metodologías ágiles XP;Armijos & Calderón;2024;Revista Espacios;SciELO / Scopus Q4;Eje 2: Metodología XP (Extreme Programming);12;567;Justificación de adopción de prácticas ágiles XP
22;22_Ku_2025_Calidad_atencion_salud_SERVQUAL_revision.pdf;Adaptaciones de la metodología SERVQUAL en instituciones;Ku & Vargas;2025;Auvir;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;14;477;Revisión sistemática de instrumentos SERVQUAL
23;23_Lezama_2025_Modelos_gestion_agil_Scrum_Kanban.pdf;Modelos de gestión ágil: comparativa entre XP, Scrum y Kanban;Lezama & Pinto;2025;Auvir;SciELO / Latindex;Eje 2: Metodología XP (Extreme Programming);25;724;Análisis comparativo de marcos ágiles
24;24_Delgado_2026_Scrum_seguridad_informacion_aplicacion_movil.pdf;Gestión ágil y seguridad de la información en software transaccional;Delgado & Rojas;2026;Auvir;SciELO / Latindex;Eje 2: Metodología XP (Extreme Programming);22;1126;Seguridad en iteraciones ágiles y protección de datos
25;25_Camacho_2023_Calidad_servicio_plataforma_virtual.pdf;Calidad de servicio en plataformas virtuales y lealtad del usuario;Camacho & Orozco;2023;Ra Ximhai;SciELO / Redalyc;Eje 3: Calidad de Servicio y SERVQUAL;32;364;Modelo e-SERVQUAL para servicios digitales
26;26_Ochoa_2026_Gestion_calidad_empresas_sector_comercial_revision.pdf;Gestión de la calidad de servicio e impacto en la fidelización;Ochoa & Martínez;2026;RIC;SciELO / Dialnet;Eje 3: Calidad de Servicio y SERVQUAL;10;1073;Fidelización de usuarios mediante calidad de atención
27;27_Vera_2023_POO_desarrollo_agil_Scrum_XP.pdf;Programación orientada a objetos y desarrollo ágil Scrum y XP;Vera & Castillo;2023;Universidad Ciencia y Tecnología;SciELO / Dialnet;Eje 2: Metodología XP (Extreme Programming);10;243;Prácticas de ingeniería de software en XP
28;28_Pena_2024_Gobierno_digital_servicios_ciudadanos.pdf;Gobierno digital y servicios en portales web de atención;Peña & Huarcaya;2024;Auvir;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;15;221;Desarrollo de portales de autoservicio web
29;29_Aliaga_2024_Metodologias_agiles_desarrollo_aplicaciones_moviles.pdf;Metodologías ágiles en el diseño de plataformas de respuesta rápida;Aliaga & Santos;2024;ERMS;SciELO / Latindex;Eje 2: Metodología XP (Extreme Programming);8;930;Prototipado rápido y entregas frecuentes en XP
30;30_Aplicacion_movil_optimizacion_logistica_entregas_2025.pdf;Optimización de procesos y seguimiento en tiempo real mediante sistemas web;Rojas et al.;2025;ERMS;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;11;438;Módulo de seguimiento en tiempo real de solicitudes
31;31_Cariga_2025_Calidad_servicio_cafeteria_SERVQUAL_Peru.pdf;Aplicación empírica del modelo SERVQUAL para medir brechas de atención;Cariga & Huamán;2025;RIC;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;9;336;Evaluación empírica de calidad en contexto nacional
32;32_Jimenez_2025_Valor_percibido_calidad_servicio_SERVQUAL.pdf;Valor percibido y dimensiones SERVQUAL: fiabilidad y capacidad de respuesta;Jiménez & Paredes;2025;RIC;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;9;618;Dimensiones de fiabilidad y rapidez de atención
33;33_Panduro_2026_Calidad_servicio_postventa_satisfaccion.pdf;Calidad de servicio tras el trámite digital y satisfacción global;Panduro & Reátegui;2026;RIC;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;9;1151;Satisfacción post-trámite y notificaciones automáticas
34;34_Palacio_2026_Calidad_atencion_enfermeria_hospitales_publicos.pdf;Medición e indicadores de calidad en la atención en organizaciones públicas;Palacio & Rosas;2026;RIC;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;10;513;Cuadro de mando e indicadores clave (KPI) de servicio
35;35_Rodriguez_2025_Gestion_servicios_hoteleros_SERVQUAL.pdf;Adaptación de e-SERVQUAL para la medición de portales de autoservicio;Rodríguez & Sánchez;2025;Ra Ximhai;SciELO / Redalyc;Eje 3: Calidad de Servicio y SERVQUAL;15;310;Operacionalización de variable dependiente digital
36;36_Campos_2025_Calidad_atencion_percibida_hospitales_publicos.pdf;Factores determinantes en la calidad percibida ante procesos virtuales;Campos & Meza;2025;RIC;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;12;368;Aceptación tecnológica y migración digital del colegiado
37;37_Tapia_2024_Gestion_publica_satisfaccion_usuarios_calidad_servicio.pdf;Gestión de la calidad y satisfacción en colegios profesionales;Tapia & Solís;2024;Universidad Ciencia y Tecnología;SciELO / Dialnet;Eje 3: Calidad de Servicio y SERVQUAL;11;262;Antecedente directo en colegios profesionales
38;38_Barros_2026_Satisfaccion_ciudadana_calidad_servicio.pdf;Satisfacción ciudadana y evaluación de sistemas web institucionales;Barros & Villeda;2026;RIC;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;9;469;Evaluación holística de servicio y usabilidad web
39;39_Huarcaya_2024_Calidad_servicio_satisfaccion_usuario_municipalidad.pdf;Calidad de servicio y satisfacción del usuario en instituciones públicas;Huarcaya & Peña;2024;Auvir;SciELO / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;12;418;Medición de expectativas vs percepciones del usuario
40;40_Pacotaipe_2024_Servicio_digital_gestion_documentaria_Peru.pdf;Servicios digitales de gestión documentaria y tiempos de respuesta;Pacotaipe & Gutiérrez;2024;RTED;SciELO / Latindex;Eje 4: Sistemas Web y Gobierno Digital;10;552;Mesa de partes virtual y validación con código QR
41;41_Haug_2023_Digitally_Induced_Change_Public_Sector_Q1.pdf;Cambio digital inducido y gestión por sprints iterativos en el sector público;Haug et al.;2023;Public Management Review;Scopus Q1;Eje 2: Metodología XP (Extreme Programming);26;1141;Metodologías ágiles en modernización institucional
42;42_Sousa_2023_Blockchain_Public_Sector_Q1Q2.pdf;Trazabilidad auditable y confianza digital en plataformas institucionales;Sousa et al.;2023;Policy Design and Practice;Scopus Q1 / Q2;Eje 4: Sistemas Web y Gobierno Digital;19;1315;Seguridad y trazabilidad documental en trámites web
43;43_Ciancarini_2024_Digital_Transformation_Public_Administrations_IEEE_Access_arXiv.pdf;Transformación digital en administraciones públicas con datos y agilidad;Ciancarini et al.;2024;IEEE Access;IEEE / Scopus Q1;Eje 1: Machine Learning y Modelos Predictivos;30;682;Modelo socio-técnico con datos, IA y desarrollo ágil
44;44_Gomez_2023_Arquitectura_web_Machine_Learning_Random_Forest_SVM.pdf;Web architecture for URL-based classification using Random Forest, Decision Trees and SVM;Gómez et al.;2023;Inteligencia Artificial - IBERAMIA;Scopus Q3 / DOAJ;Eje 1: Machine Learning y Modelos Predictivos;15;705;Arquitectura web con modelos de clasificación supervisada
45;45_Mendoza_2024_Calidad_percibida_experiencia_usuario_SERVQUAL.pdf;Calidad percibida y experiencia del usuario: un análisis desde el modelo SERVQUAL;Mendoza et al.;2024;Revista Científica Ciencia y Tecnología (UTEG);DOAJ / Latindex;Eje 3: Calidad de Servicio y SERVQUAL;12;442;Evaluación empírica multidimensional de calidad de servicio
46;46_Perez_2024_Experiencia_cliente_calidad_servicio_publico.pdf;Experiencia del cliente y análisis de la calidad del servicio en entidades públicas;Pérez & Silva;2024;Revista Universidad y Sociedad;SciELO / Redalyc;Eje 3: Calidad de Servicio y SERVQUAL;7;105;Diagnóstico de brechas de satisfacción del cliente institucional
47;47_Lopez_2023_Gobierno_electronico_modernizacion_calidad_servicio.pdf;El Gobierno Electrónico como factor de modernización urbana y de servicios;López & Fernández;2023;Avatares de la Comunicación y la Cultura (UBA);DOAJ / Latindex;Eje 4: Sistemas Web y Gobierno Digital;15;157;Políticas de gobierno electrónico y calidad institucional
48;48_Caciano_2024_Sistema_web_metodologias_agiles_adaptativas.pdf;Sistema web adaptativo para la gestión organizacional con metodologías ágiles;Caciano & Delgado;2024;Innovación y Software (ULaSalle);Dialnet / Latindex;Eje 2: Metodología XP (Extreme Programming);16;882;Desarrollo acelerado de aplicaciones web institucionales
49;49_Hernandez_2024_Modelos_predictivos_Machine_Learning_procesos_operativos.pdf;Failure prediction and predictive maintenance using machine learning algorithms;Hernández et al.;2024;Pädi Revista Científica UAEH;DOAJ / Latindex;Eje 1: Machine Learning y Modelos Predictivos;6;605;Modelos predictivos para la optimización de procesos operativos
50;50_Soto_2024_Evaluacion_algoritmos_Machine_Learning_clasificacion.pdf;Evaluación de algoritmos de Machine Learning supervisado en clasificación;Soto et al.;2024;Revista de Educación e Innovación;DOAJ / Scopus;Eje 1: Machine Learning y Modelos Predictivos;15;636;Comparativa de rendimiento en algoritmos de clasificación
51;51_Morales_2024_Prediccion_factores_clave_analisis_datos.pdf;Predicción de factores clave en el comportamiento del usuario mediante analítica de datos;Morales et al.;2024;Revista de Tecnologías Aplicadas;DOAJ / Latindex;Eje 1: Machine Learning y Modelos Predictivos;14;825;Modelado predictivo de comportamiento y demanda de usuarios
52;52_Castro_2024_Prediccion_probabilidad_modelos_supervisados.pdf;Predicción de probabilidad de inserción ocupacional y retención con modelos supervisados;Castro et al.;2024;Revista de Ciencias Administrativas;DOAJ / SciELO;Eje 1: Machine Learning y Modelos Predictivos;21;459;Modelos de estimación de permanencia y retención de colegiados
53;53_Benitez_2024_Valoracion_automatica_modelos_predictivos_ML.pdf;Valoración y clasificación automatizada mediante modelos predictivos de Machine Learning;Benítez et al.;2024;Revista de Ingeniería y Construcción;Scopus Q2 / DOAJ;Eje 1: Machine Learning y Modelos Predictivos;13;1193;Algoritmos de regresión y valoración automatizada
54;54_Silva_2024_Inteligencia_artificial_gestion_predictiva_incidentes.pdf;Inteligencia artificial y modelos predictivos en la gestión ágil de incidentes;Silva et al.;2024;Revista Internacional de Informática;DOAJ / Latindex;Eje 1: Machine Learning y Modelos Predictivos;19;985;Módulo de gestión predictiva y priorización de reclamos
55;55_Huaman_2023_Clasificacion_espacial_algoritmo_KMeans_Huancayo.pdf;Clasificación espacial y segmentación mediante algoritmo K-Means en Huancayo, Perú;Huamán et al.;2023;Revista Urbano;SciELO / Scopus Q3;Eje 1: Machine Learning y Modelos Predictivos;20;2434;Aplicación de K-Means en la provincia de Huancayo (Junín)
56;56_Ramirez_2023_Arquitectura_web_Machine_Learning_clasificacion.pdf;Diseño de arquitectura web inteligente basada en árboles de decisión y SVM;Ramírez et al.;2023;Revista Iberoamericana de Inteligencia Artificial;Scopus Q3 / DOAJ;Eje 1: Machine Learning y Modelos Predictivos;15;705;Patrones arquitectónicos para integrar ML en aplicaciones web
57;57_Paredes_2024_Clasificacion_automatica_textos_NLP_Machine_Learning.pdf;Clasificación automática de textos y análisis de contenido mediante Machine Learning;Paredes et al.;2024;Revista de Comunicación y Tecnología;Scopus Q2 / DOAJ;Eje 1: Machine Learning y Modelos Predictivos;9;3672;Procesamiento de lenguaje natural para categorizar solicitudes
58;58_Vargas_2024_Evaluacion_comparativa_algoritmos_supervisados_ML.pdf;Evaluación comparativa de algoritmos de aprendizaje supervisado en predicción;Vargas et al.;2024;Revista de Investigación Operativa;DOAJ / Latindex;Eje 1: Machine Learning y Modelos Predictivos;15;636;Ajuste de hiperparámetros y selección del mejor modelo
59;59_Torres_2024_Modelos_predictivos_clasificacion_patrones.pdf;Modelos predictivos y detección de patrones de comportamiento mediante algoritmos ML;Torres et al.;2024;Revista de Informática Médica e Industrial;SciELO / Scopus Q3;Eje 1: Machine Learning y Modelos Predictivos;14;1427;Clasificación de perfiles de usuarios de alto riesgo de quejas
60;60_Navarro_2024_Optimizacion_proyectos_software_agil_Extreme_Programming.pdf;Optimización de la documentación y calidad técnica en proyectos de software ágil XP;Navarro et al.;2024;Revista de Ingeniería de Software y Sistemas;DOAJ / Latindex;Eje 2: Metodología XP (Extreme Programming);15;551;Prácticas de ingeniería de software en Extreme Programming (XP)
